---> Starting with dimension 16  and correlation 0 
Run: 9 out of 10  -  2025-06-11 19:32:48.033473 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 19:32:48.039562 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.045633 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 19:32:48.051612 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 19:32:48.057625 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 19:32:48.063642 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 19:32:48.06969 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 19:32:48.075682 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 19:32:48.099671 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 19:32:48.10933 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 19:32:48.117066 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 19:32:48.124833 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.132634 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 19:32:48.141089 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 19:32:48.148947 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 19:32:48.156763 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 19:32:48.164605 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 19:32:48.172436 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 19:32:48.179874 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 19:32:48.185964 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 19:32:48.191967 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 19:32:48.198 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.204023 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 19:32:48.210114 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 19:32:48.216168 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 19:32:48.222222 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 19:32:48.228259 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 19:32:48.234339 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 19:32:48.240364 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 19:32:48.246405 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 19:32:48.25244 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 19:32:48.258556 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.264648 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 19:32:48.270691 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 19:32:48.27676 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 19:32:48.282758 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 19:32:48.288778 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 19:32:48.294784 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 19:32:48.318437 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 19:32:48.327478 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 19:32:48.335184 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 19:32:48.342858 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.350767 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 19:32:48.358559 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 19:32:48.366329 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 19:32:48.374182 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 19:32:48.381957 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 19:32:48.397048 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 19:32:48.403522 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 19:32:48.409834 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 19:32:48.415978 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 19:32:48.422159 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.428342 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 19:32:48.435005 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 19:32:48.441643 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 19:32:48.448325 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 19:32:48.455067 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 19:32:48.461681 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 19:32:48.46826 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 19:32:48.47494 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 19:32:48.4816 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 19:32:48.488271 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.494931 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 19:32:48.501506 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 19:32:48.508186 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 19:32:48.514855 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 19:32:48.521549 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 19:32:48.528241 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 19:32:48.53479 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 19:32:48.541423 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 19:32:48.548062 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 19:32:48.554649 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.561256 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 19:32:48.583606 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 19:32:48.593093 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 19:32:48.606477 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 19:32:48.620914 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 19:32:48.635999 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 19:32:48.6446 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 19:32:48.653295 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 19:32:48.662078 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 19:32:48.677501 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.692803 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 19:32:48.707821 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 19:32:48.722816 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 19:32:48.737514 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 19:32:48.752266 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 19:32:48.76696 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 19:32:48.781798 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 19:32:48.79672 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 19:32:48.811544 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 19:32:48.82634 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:48.854373 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 19:32:48.86584 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 19:32:48.874707 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 19:32:48.883131 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 19:32:48.895536 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 19:32:48.931665 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 19:32:48.93989 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 19:32:48.946553 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 19:32:49.031089 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 19:32:49.046124 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.074394 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 19:32:49.086056 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 19:32:49.104569 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 19:32:49.113099 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 19:32:49.121687 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 19:32:49.130251 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 19:32:49.138829 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 19:32:49.147389 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 19:32:49.155385 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 19:32:49.162036 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.168708 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 19:32:49.175364 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 19:32:49.181994 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 19:32:49.188646 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 19:32:49.195285 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 19:32:49.201945 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 19:32:49.208592 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 19:32:49.215372 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 19:32:49.222097 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 19:32:49.228872 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.235605 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 19:32:49.242357 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 19:32:49.249297 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 19:32:49.255982 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 19:32:49.262711 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 19:32:49.269355 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 19:32:49.276112 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 19:32:49.282817 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 19:32:49.289449 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 19:32:49.296063 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.302691 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 19:32:49.30871 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 19:32:49.314771 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 19:32:49.320809 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 19:32:49.344584 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 19:32:49.354425 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 19:32:49.362238 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 19:32:49.370019 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 19:32:49.377897 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 19:32:49.386281 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.394133 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 19:32:49.40198 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 19:32:49.409788 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 19:32:49.417618 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 19:32:49.425012 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 19:32:49.431091 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 19:32:49.437194 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 19:32:49.443303 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 19:32:49.449428 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 19:32:49.455546 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.461643 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 19:32:49.468285 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 19:32:49.474982 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 19:32:49.481653 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 19:32:49.488359 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 19:32:49.49502 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 19:32:49.501657 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 19:32:49.50825 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 19:32:49.514853 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 19:32:49.521487 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.528143 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 19:32:49.534774 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 19:32:49.541437 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 19:32:49.548066 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 19:32:49.554746 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 19:32:49.56142 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 19:32:49.568085 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 19:32:49.57474 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 19:32:49.581377 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 19:32:49.58811 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:49.610341 with b: 2 
Run: 2 out of 10  -  2025-06-11 19:32:49.619607 with b: 2 
Run: 3 out of 10  -  2025-06-11 19:32:49.628099 with b: 2 
Run: 4 out of 10  -  2025-06-11 19:32:49.636628 with b: 2 
Run: 5 out of 10  -  2025-06-11 19:32:49.645123 with b: 2 
Run: 6 out of 10  -  2025-06-11 19:32:49.653655 with b: 2 
Run: 7 out of 10  -  2025-06-11 19:32:49.662185 with b: 2 
Run: 8 out of 10  -  2025-06-11 19:32:49.678645 with b: 2 
Run: 9 out of 10  -  2025-06-11 19:32:49.688889 with b: 2 
Run: 10 out of 10  -  2025-06-11 19:32:49.696407 with b: 2 

 20 / 20 
---> Finished with dimension 64  and correlation 0.75 
---> Starting with dimension 128  and correlation 0.75 
Run: 1 out of 10  -  2025-06-11 19:32:49.703856 with b: -2 
Run: 2 out of 10  -  2025-06-11 19:32:49.833862 with b: -2 
Run: 3 out of 10  -  2025-06-11 19:32:50.613996 with b: -2 
Run: 4 out of 10  -  2025-06-11 19:32:50.764445 with b: -2 
Run: 5 out of 10  -  2025-06-11 19:32:50.880961 with b: -2 
Run: 6 out of 10  -  2025-06-11 19:32:50.980288 with b: -2 
Run: 7 out of 10  -  2025-06-11 19:32:51.067163 with b: -2 
Run: 8 out of 10  -  2025-06-11 19:32:51.192473 with b: -2 
Run: 9 out of 10  -  2025-06-11 19:32:51.275668 with b: -2 
Run: 10 out of 10  -  2025-06-11 19:32:51.521034 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:51.667775 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 19:32:51.753561 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 19:32:51.884322 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 19:32:51.970697 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 19:32:52.058477 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 19:32:52.189183 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 19:32:52.290076 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 19:32:52.426634 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 19:32:52.637359 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 19:32:52.733557 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:52.81948 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 19:32:52.959115 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 19:32:53.056636 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 19:32:53.189883 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 19:32:53.300419 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 19:32:53.467485 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 19:32:53.720052 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 19:32:53.810452 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 19:32:53.945652 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 19:32:54.038505 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:54.17439 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 19:32:54.272493 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 19:32:54.421953 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 19:32:54.516318 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 19:32:54.784021 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 19:32:54.927402 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 19:32:55.016836 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 19:32:55.128847 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 19:32:55.226316 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 19:32:55.319242 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:55.460244 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 19:32:55.601084 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 19:32:55.831692 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 19:32:55.953133 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 19:32:56.052034 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 19:32:56.18487 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 19:32:56.280078 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 19:32:56.416486 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 19:32:56.532356 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 19:32:56.672873 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:56.88007 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 19:32:56.981795 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 19:32:57.112978 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 19:32:57.216823 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 19:32:57.31335 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 19:32:57.45562 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 19:32:57.566568 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 19:32:57.83509 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 19:32:58.046399 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 19:32:58.207124 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:58.316256 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 19:32:58.46105 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 19:32:58.58793 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 19:32:58.706819 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 19:32:58.853407 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 19:32:59.144149 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 19:32:59.240978 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 19:32:59.366102 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 19:32:59.464278 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 19:32:59.559946 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 19:32:59.694615 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 19:32:59.802789 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 19:32:59.996061 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 19:33:00.133888 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 19:33:00.236034 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 19:33:00.374362 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 19:33:00.473263 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 19:33:00.569772 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 19:33:00.715873 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 19:33:00.817872 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:00.957629 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 19:33:01.222972 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 19:33:01.32551 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 19:33:01.457248 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 19:33:01.547637 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 19:33:01.685031 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 19:33:01.792982 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 19:33:02.015621 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 19:33:02.186265 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 19:33:02.281877 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:02.415038 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 19:33:02.513828 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 19:33:02.65113 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 19:33:02.7486 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 19:33:02.901062 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 19:33:02.997521 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 19:33:03.184667 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 19:33:03.395602 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 19:33:03.49117 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 19:33:03.589126 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:03.726569 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 19:33:03.822594 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 19:33:03.96002 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 19:33:04.072873 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 19:33:04.300362 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 19:33:04.440645 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 19:33:04.537059 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 19:33:04.68421 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 19:33:04.781969 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 19:33:04.92147 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:05.032847 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 19:33:05.182588 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 19:33:05.418913 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 19:33:05.522253 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 19:33:05.646973 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 19:33:05.757305 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 19:33:05.881804 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 19:33:05.994099 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 19:33:06.138162 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 19:33:06.239936 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:06.428725 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 19:33:06.680762 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 19:33:06.78121 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 19:33:06.931443 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 19:33:07.035998 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 19:33:07.177422 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 19:33:07.307229 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 19:33:07.539848 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 19:33:07.690378 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 19:33:07.793901 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:07.945657 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 19:33:08.049541 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 19:33:08.202295 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 19:33:08.322366 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 19:33:08.471608 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 19:33:08.686833 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 19:33:08.934854 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 19:33:09.040925 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 19:33:09.185678 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 19:33:09.309778 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:09.457356 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 19:33:09.576011 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 19:33:09.883341 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 19:33:10.003599 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 19:33:10.14348 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 19:33:10.254479 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 19:33:10.356011 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 19:33:10.503021 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 19:33:10.668 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 19:33:10.772831 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:11.009184 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 19:33:11.177064 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 19:33:11.29681 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 19:33:11.451982 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 19:33:11.556689 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 19:33:11.700439 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 19:33:11.816903 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 19:33:12.11195 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 19:33:12.222404 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 19:33:12.350724 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:12.478286 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 19:33:12.599234 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 19:33:12.746247 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 19:33:12.880073 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 19:33:13.18329 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 19:33:13.281367 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 19:33:13.42177 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 19:33:13.522659 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 19:33:13.666145 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 19:33:13.77205 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:13.928473 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 19:33:14.032591 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 19:33:14.309361 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 19:33:14.513438 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 19:33:14.656934 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 19:33:14.7695 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 19:33:14.912198 with b: 1.579 
