---> Starting with dimension 16  and correlation 0 
Run: 4 out of 10  -  2025-06-11 09:51:51.463485 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 09:51:51.465242 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 09:51:51.466979 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 09:51:51.468742 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 09:51:51.470474 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 09:51:51.472216 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 09:51:51.473934 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.475665 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 09:51:51.477385 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 09:51:51.479115 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 09:51:51.480853 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 09:51:51.482579 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 09:51:51.484313 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 09:51:51.486166 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 09:51:51.487917 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 09:51:51.489654 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 09:51:51.491381 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.493129 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 09:51:51.494848 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 09:51:51.496583 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 09:51:51.498306 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 09:51:51.500018 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 09:51:51.501776 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 09:51:51.503527 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 09:51:51.505265 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 09:51:51.506995 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 09:51:51.508733 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.528771 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 09:51:51.533102 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 09:51:51.53668 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 09:51:51.539067 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 09:51:51.541549 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 09:51:51.544091 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 09:51:51.54656 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 09:51:51.549013 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 09:51:51.551469 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 09:51:51.55718 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.560105 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 09:51:51.564169 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 09:51:51.567541 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 09:51:51.569969 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 09:51:51.572393 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 09:51:51.57483 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 09:51:51.577343 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 09:51:51.579853 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 09:51:51.58226 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 09:51:51.584682 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.587126 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 09:51:51.59056 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 09:51:51.593023 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 09:51:51.595424 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 09:51:51.597881 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 09:51:51.600302 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 09:51:51.602707 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 09:51:51.605121 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 09:51:51.60757 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 09:51:51.609486 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.611321 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 09:51:51.613131 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 09:51:51.615025 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 09:51:51.616955 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 09:51:51.618883 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 09:51:51.620768 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 09:51:51.622616 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 09:51:51.624681 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 09:51:51.626706 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 09:51:51.628553 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.63045 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 09:51:51.632239 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 09:51:51.634212 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 09:51:51.636014 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 09:51:51.637818 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 09:51:51.639639 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 09:51:51.641442 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 09:51:51.643244 with b: 1.158 
